Category,Keyword
Modality,Text
Modality,Speech
Attribute,Multilinguality
Attribute,Reasoning
Attribute,Robustness
Domain,Biology
Domain,Business
Domain,Chemistry
Domain,Classics
Domain,Computer Science
Domain,Culture
Domain,Economics
Domain,Engineering
Domain,Finance
Domain,Geography
Domain,History
Domain,Legal
Domain,Math
Domain,Medical
Domain,Philosophy
Domain,Physics
Domain,Psychology
Domain,Science
Format,Long-context
Format,Minimal pairs
Format,Open-ended
Format,Q&A
Format,Multiple-choice
Format,Similarity judgments
Format,Triplet comparison
Language,Code-switching
Language,Lexicon
Language,Grammar 
Language,Syntax
Language,Morphology
Language,Orthography
Language,Pragmatics
Language,Semantics
Language,Phonetics
Language,Phonology
Language,Prosody
Language,Paralinguistics
Task,Translation
Task,NER
Task,NLI
Task,Summarization
Task,Classification
Task,Data Annotation
